,Irradiance,Real_Power_PV,Reactive_Power_Total,Real_Power_Total,Reactive_Power_PV,Apparent_PF,Load_PF,IrradianceProxy
2015-10-19 00:01:00,0.0,-8519.77100046405,,2338021.0189015074,20150.622830452427,0.999124520118703,0.9987261938250864,
2015-10-19 00:02:00,0.0,-8506.859638187125,,2344978.1237675757,20139.295453930008,0.9990314629974668,0.998616143246886,
2015-10-19 00:03:00,0.0,-8862.293077983337,,2334724.840502057,20063.263093820842,0.9990108108375766,0.9985911511198801,
2015-10-19 00:04:00,0.0,-8486.831661968943,,2291264.7747225435,20183.05634762848,0.999409174915883,0.9990668125379814,-0.12300000000000003
2015-10-19 00:05:00,0.0,-8541.426899965089,93436.82848606702,2272700.6756547773,20196.77821683251,0.9994370409886196,0.999098559059618,-0.12300000000000003
2015-10-19 00:06:00,0.0,-8508.470760005024,89276.97132447621,2292254.9427026357,20141.07308157073,0.999322769326648,0.9989600728560499,-0.12300000000000003
2015-10-19 00:07:00,0.0,-8506.476366773779,82404.91399617832,2248451.536440945,20153.905945227692,0.9996178902968074,0.9993290666339529,-0.12300000000000003
2015-10-19 00:08:00,0.0,-8516.111863768763,78883.92812182239,2292161.178374786,20138.402632412537,0.9994167377174875,0.9990772986148118,-0.12300000000000003
2015-10-19 00:09:00,0.0,-8522.429095610942,78834.36006888724,2310943.0209458508,20158.145410442048,0.9989814804817722,0.9985493030308388,-0.12300000000000003
2015-10-19 00:10:00,0.0,-8519.30825129,84134.98790679414,2314298.4013114935,20135.702162035897,0.9989212750324544,0.9984789258965574,-0.12300000000000003
2015-10-19 00:11:00,0.0,-8529.112754115322,89415.56351002629,2318999.5260544885,20157.44052679806,0.9990351356844797,0.998615034067505,-0.12300000000000003
2015-10-19 00:12:00,0.0,-8514.925723112556,93253.37592734241,2294681.7385523757,20187.016591494885,0.9993227515164249,0.9989595612022779,-0.12300000000000003
2015-10-19 00:13:00,0.0,-8667.267221897348,95643.2054199808,2313862.6466603177,20117.659979903543,0.999126476450919,0.9987246816368202,-0.12300000000000003
2015-10-19 00:14:00,0.0,-8437.040347665463,95648.2330834861,2308281.0470725223,20187.648813483545,0.9992310340491513,0.9988491762567496,-0.12300000000000003
2015-10-19 00:15:00,0.0,-8449.979730427545,92286.13095984519,2293493.6896529375,20213.098209046984,0.9992090441328872,0.9988190395724352,-0.12300000000000003
2015-10-19 00:16:00,0.0,-8462.602654774408,91666.95103460424,2313077.5332187884,20206.686269675134,0.9989946009739707,0.9985642750662521,-0.12300000000000003
2015-10-19 00:17:00,0.0,-8440.915328787134,92780.64740121338,2295297.742149946,20239.12352497233,0.9993459638823506,0.9989874541571246,-0.12300000000000003
2015-10-19 00:18:00,0.0,-8463.00475748886,98627.05663611484,2317244.3074946105,20218.843251424936,0.9989149506769432,0.9984700663495372,-0.12300000000000003
