Time,DateUTC,SolarRadiationWatts/m^2
10/19/15 0:01,10/19/15 7:01,0
10/19/15 0:06,10/19/15 7:06,0
10/19/15 0:11,10/19/15 7:11,0
10/19/15 0:16,10/19/15 7:16,0
10/19/15 0:21,10/19/15 7:21,0
10/19/15 0:26,10/19/15 7:26,0
10/19/15 0:31,10/19/15 7:31,0
10/19/15 0:41,10/19/15 7:41,0
10/19/15 0:46,10/19/15 7:46,0
10/19/15 0:51,10/19/15 7:51,0
10/19/15 0:56,10/19/15 7:56,0
10/19/15 1:01,10/19/15 8:01,0
10/19/15 1:06,10/19/15 8:06,0
10/19/15 1:11,10/19/15 8:11,0
10/19/15 1:17,10/19/15 8:17,0
10/19/15 1:22,10/19/15 8:22,0
10/19/15 1:27,10/19/15 8:27,0
10/19/15 1:32,10/19/15 8:32,0
10/19/15 1:37,10/19/15 8:37,0
10/19/15 1:42,10/19/15 8:42,0
10/19/15 1:47,10/19/15 8:47,0
10/19/15 1:52,10/19/15 8:52,0
10/19/15 1:57,10/19/15 8:57,0
10/19/15 2:02,10/19/15 9:02,0
10/19/15 2:07,10/19/15 9:07,0
10/19/15 2:12,10/19/15 9:12,0
10/19/15 2:17,10/19/15 9:17,0
10/19/15 2:22,10/19/15 9:22,0
10/19/15 2:27,10/19/15 9:27,0
10/19/15 2:33,10/19/15 9:33,0
10/19/15 2:38,10/19/15 9:38,0
10/19/15 2:43,10/19/15 9:43,0
10/19/15 2:48,10/19/15 9:48,0
10/19/15 2:53,10/19/15 9:53,0
10/19/15 2:58,10/19/15 9:58,0
10/19/15 3:03,10/19/15 10:03,0
10/19/15 3:08,10/19/15 10:08,0
10/19/15 3:13,10/19/15 10:13,0
10/19/15 3:18,10/19/15 10:18,0
10/19/15 3:23,10/19/15 10:23,0
10/19/15 3:28,10/19/15 10:28,0
10/19/15 3:33,10/19/15 10:33,0
10/19/15 3:38,10/19/15 10:38,0
10/19/15 3:43,10/19/15 10:43,0
10/19/15 3:49,10/19/15 10:49,0
10/19/15 3:54,10/19/15 10:54,0
10/19/15 3:59,10/19/15 10:59,0
10/19/15 4:04,10/19/15 11:04,0
10/19/15 4:09,10/19/15 11:09,0
10/19/15 4:14,10/19/15 11:14,0
10/19/15 4:19,10/19/15 11:19,0
10/19/15 4:29,10/19/15 11:29,0
10/19/15 4:34,10/19/15 11:34,0
10/19/15 4:39,10/19/15 11:39,0
10/19/15 4:44,10/19/15 11:44,0
10/19/15 4:49,10/19/15 11:49,0
10/19/15 4:54,10/19/15 11:54,0
10/19/15 4:59,10/19/15 11:59,0
10/19/15 5:05,10/19/15 12:05,0
10/19/15 5:10,10/19/15 12:10,0
10/19/15 5:15,10/19/15 12:15,0
10/19/15 5:20,10/19/15 12:20,0
10/19/15 5:25,10/19/15 12:25,0
10/19/15 5:30,10/19/15 12:30,0
10/19/15 5:35,10/19/15 12:35,0
10/19/15 5:40,10/19/15 12:40,0
10/19/15 5:45,10/19/15 12:45,0
10/19/15 5:50,10/19/15 12:50,0
10/19/15 5:55,10/19/15 12:55,0
10/19/15 6:00,10/19/15 13:00,0
10/19/15 6:05,10/19/15 13:05,0
10/19/15 6:10,10/19/15 13:10,0
10/19/15 6:15,10/19/15 13:15,0
10/19/15 6:21,10/19/15 13:21,0
10/19/15 6:26,10/19/15 13:26,0
10/19/15 6:31,10/19/15 13:31,0
10/19/15 6:36,10/19/15 13:36,0
10/19/15 6:41,10/19/15 13:41,0
10/19/15 6:46,10/19/15 13:46,0
10/19/15 6:51,10/19/15 13:51,0
10/19/15 6:56,10/19/15 13:56,0
10/19/15 7:01,10/19/15 14:01,3.38
10/19/15 7:06,10/19/15 14:06,16.23
10/19/15 7:11,10/19/15 14:11,23.52
10/19/15 7:16,10/19/15 14:16,29.32
10/19/15 7:21,10/19/15 14:21,39.43
10/19/15 7:26,10/19/15 14:26,44.68
10/19/15 7:31,10/19/15 14:31,47.33
10/19/15 7:37,10/19/15 14:37,64.79
10/19/15 7:42,10/19/15 14:42,70.37
10/19/15 7:47,10/19/15 14:47,71.25
10/19/15 7:52,10/19/15 14:52,82.08
10/19/15 7:57,10/19/15 14:57,84.16
10/19/15 8:02,10/19/15 15:02,92.47
10/19/15 8:07,10/19/15 15:07,102.22
10/19/15 8:12,10/19/15 15:12,109.42
10/19/15 8:17,10/19/15 15:17,114.54
10/19/15 8:22,10/19/15 15:22,127.04
10/19/15 8:27,10/19/15 15:27,120.29
10/19/15 8:32,10/19/15 15:32,127.82
10/19/15 8:42,10/19/15 15:42,117.21
10/19/15 8:47,10/19/15 15:47,123.4
10/19/15 8:53,10/19/15 15:53,150.52
10/19/15 8:58,10/19/15 15:58,138.35
10/19/15 9:03,10/19/15 16:03,123.07
10/19/15 9:08,10/19/15 16:08,168.1
10/19/15 9:13,10/19/15 16:13,196.45
10/19/15 9:18,10/19/15 16:18,227.49
10/19/15 9:23,10/19/15 16:23,231.69
10/19/15 9:28,10/19/15 16:28,235.62
10/19/15 9:33,10/19/15 16:33,268.41
10/19/15 9:38,10/19/15 16:38,231.02
10/19/15 9:43,10/19/15 16:43,204.46
10/19/15 9:48,10/19/15 16:48,206.87
10/19/15 9:53,10/19/15 16:53,251.79
10/19/15 9:58,10/19/15 16:58,282.36
10/19/15 10:03,10/19/15 17:03,253.79
10/19/15 10:09,10/19/15 17:09,262.77
10/19/15 10:14,10/19/15 17:14,261.62
10/19/15 10:19,10/19/15 17:19,261.51
10/19/15 10:24,10/19/15 17:24,299.87
10/19/15 10:29,10/19/15 17:29,271.34
10/19/15 10:34,10/19/15 17:34,277.61
10/19/15 10:39,10/19/15 17:39,320.83
10/19/15 10:49,10/19/15 17:49,335.66
10/19/15 10:54,10/19/15 17:54,342.64
10/19/15 11:04,10/19/15 18:04,306.51
10/19/15 11:09,10/19/15 18:09,334.07
10/19/15 11:14,10/19/15 18:14,316.56
10/19/15 11:19,10/19/15 18:19,322.38
10/19/15 11:25,10/19/15 18:25,348.46
10/19/15 11:30,10/19/15 18:30,359.44
10/19/15 11:35,10/19/15 18:35,405.26
10/19/15 11:40,10/19/15 18:40,330.14
10/19/15 11:45,10/19/15 18:45,320.94
10/19/15 11:50,10/19/15 18:50,376.58
10/19/15 11:55,10/19/15 18:55,407.63
10/19/15 12:00,10/19/15 19:00,361.63
10/19/15 12:05,10/19/15 19:05,309.59
10/19/15 12:15,10/19/15 19:15,281.36
10/19/15 12:20,10/19/15 19:20,421.91
10/19/15 12:25,10/19/15 19:25,314.41
10/19/15 12:30,10/19/15 19:30,348.65
10/19/15 12:35,10/19/15 19:35,408.52
10/19/15 12:41,10/19/15 19:41,570.85
10/19/15 12:46,10/19/15 19:46,388.97
10/19/15 12:51,10/19/15 19:51,514.95
10/19/15 12:56,10/19/15 19:56,470.84
10/19/15 13:01,10/19/15 20:01,470.4
10/19/15 13:11,10/19/15 20:11,376.06
10/19/15 13:16,10/19/15 20:16,482.93
10/19/15 13:21,10/19/15 20:21,451.37
10/19/15 13:26,10/19/15 20:26,462.46
10/19/15 13:31,10/19/15 20:31,461.16
10/19/15 13:36,10/19/15 20:36,304.21
10/19/15 13:41,10/19/15 20:41,385.48
10/19/15 13:46,10/19/15 20:46,574.52
10/19/15 13:51,10/19/15 20:51,446.28
10/19/15 13:57,10/19/15 20:57,368.38
10/19/15 14:02,10/19/15 21:02,313.74
10/19/15 14:07,10/19/15 21:07,316.71
10/19/15 14:17,10/19/15 21:17,306.84
10/19/15 14:22,10/19/15 21:22,399.73
10/19/15 14:27,10/19/15 21:27,471.47
10/19/15 14:32,10/19/15 21:32,608.43
10/19/15 14:37,10/19/15 21:37,696.72
10/19/15 14:42,10/19/15 21:42,655.28
10/19/15 14:47,10/19/15 21:47,346.24
10/19/15 14:52,10/19/15 21:52,407.78
10/19/15 14:57,10/19/15 21:57,222.75
10/19/15 15:02,10/19/15 22:02,205.42
10/19/15 15:07,10/19/15 22:07,541.62
10/19/15 15:13,10/19/15 22:13,578.38
10/19/15 15:18,10/19/15 22:18,602.57
