Time,DateUTC,SolarRadiationWatts/m^2
10/21/15 0:03,10/21/15 7:03,0
10/21/15 0:09,10/21/15 7:09,0
10/21/15 0:14,10/21/15 7:14,0
10/21/15 0:19,10/21/15 7:19,0
10/21/15 0:24,10/21/15 7:24,0
10/21/15 0:29,10/21/15 7:29,0
10/21/15 0:34,10/21/15 7:34,0
10/21/15 0:39,10/21/15 7:39,0
10/21/15 0:44,10/21/15 7:44,0
10/21/15 0:49,10/21/15 7:49,0
10/21/15 0:54,10/21/15 7:54,0
10/21/15 0:59,10/21/15 7:59,0
10/21/15 1:04,10/21/15 8:04,0
10/21/15 1:09,10/21/15 8:09,0
10/21/15 1:14,10/21/15 8:14,0
10/21/15 1:20,10/21/15 8:20,0
10/21/15 1:25,10/21/15 8:25,0
10/21/15 1:30,10/21/15 8:30,0
10/21/15 1:35,10/21/15 8:35,0
10/21/15 1:40,10/21/15 8:40,0
10/21/15 1:45,10/21/15 8:45,0
10/21/15 1:50,10/21/15 8:50,0
10/21/15 1:55,10/21/15 8:55,0
10/21/15 2:00,10/21/15 9:00,0
10/21/15 2:05,10/21/15 9:05,0
10/21/15 2:10,10/21/15 9:10,0
10/21/15 2:15,10/21/15 9:15,0
10/21/15 2:20,10/21/15 9:20,0
10/21/15 2:25,10/21/15 9:25,0
10/21/15 2:30,10/21/15 9:30,0
10/21/15 2:36,10/21/15 9:36,0
10/21/15 2:41,10/21/15 9:41,0
10/21/15 2:46,10/21/15 9:46,0
10/21/15 2:51,10/21/15 9:51,0
10/21/15 2:56,10/21/15 9:56,0
10/21/15 3:01,10/21/15 10:01,0
10/21/15 3:06,10/21/15 10:06,0
10/21/15 3:11,10/21/15 10:11,0
10/21/15 3:16,10/21/15 10:16,0
10/21/15 3:21,10/21/15 10:21,0
10/21/15 3:26,10/21/15 10:26,0
10/21/15 3:31,10/21/15 10:31,0
10/21/15 3:36,10/21/15 10:36,0
10/21/15 3:41,10/21/15 10:41,0
10/21/15 3:46,10/21/15 10:46,0
10/21/15 3:52,10/21/15 10:52,0
10/21/15 3:57,10/21/15 10:57,0
10/21/15 4:02,10/21/15 11:02,0
10/21/15 4:07,10/21/15 11:07,0
10/21/15 4:12,10/21/15 11:12,0
